EAGLE Version 9.5.2 Copyright (c) 1988-2019 Autodesk, Inc.,,,,,,,
List of signals with length and its max. frequency / current,,,,,,,,
exported from /home/mc/Documents/Capstone Eagle/oresat-c3-v1.brd,,,,,,,,
at 1/23/20 12:18 PM,,,,,,,,
Signal,f max. [MHz],l [mm],l[mil],A [mm2],R [mOhm],w min [mm],w max [mm],Imax [A]
N$5,245134.91,1.223,48.1496062992126,0.007,3.04,0.2,0.2,0.64
N$7,599600,0.5,19.6850393700787,0.011,0.83,0.3,0.3,0.93
N$8,241784.04,1.24,48.8188976377953,0.007,3.08,0.2,0.35,0.64
N$9,179063.75,1.674,65.9055118110236,0.007,4.16,0.2,0.2,0.64
NRST,4412.58,67.942,2674.88188976378,0.005,221.63,0.152,0.2,0.5
OPD_!FAULT,15279.33,19.621,772.48031496063,0.005,64.01,0.152,0.2,0.5
OPD_ISET,48156.18,6.226,245.11811023622,0.007,15.48,0.2,0.2,0.64
OPD_ISET_IN,14888.72,20.136,792.755905511811,0.005,65.69,0.152,0.2,0.5
OPD_PWR,9585.35,31.277,1231.37795275591,0.014,38.87,0.4,0.508,1.23
OPD_SCL,7750.54,38.681,1522.87401574803,0.007,96.15,0.2,0.305,0.64
OPD_SDA,7271.13,41.232,1623.30708661417,0.005,134.5,0.152,0.305,0.5
PA1,65374.09,4.586,180.551181102362,0.007,11.4,0.2,0.2,0.64
PA15,58235.65,5.148,202.677165354331,0.005,16.79,0.152,0.152,0.5
PB10,122610.95,2.445,96.259842519685,0.005,7.98,0.152,0.152,0.5
PB12,7506.54,39.938,1572.36220472441,0.004,156.34,0.127,0.2,0.42
PC0,9550.34,31.392,1235.90551181102,0.004,122.88,0.127,0.2,0.42
PC1,9214.28,32.536,1280.94488188976,0.004,127.36,0.127,0.2,0.42
PC2,8959.61,33.461,1317.36220472441,0.004,130.98,0.127,0.2,0.42
PC3,9955.73,30.113,1185.55118110236,0.004,117.88,0.127,0.2,0.42
PC4,6737.36,44.498,1751.88976377953,0.004,174.19,0.127,0.2,0.42
PC5,7474.07,40.112,1579.2125984252,0.004,157.02,0.127,0.2,0.42
PWRAMP1,43306.76,6.923,272.55905511811,0.007,17.21,0.2,0.2,0.64
PWRAMP2,43306.76,6.923,272.55905511811,0.007,17.21,0.2,0.2,0.64
