Part,Value,Device,Package,Description,DIS,DPN,MANUFACTURER_PART_NUMBER,MFR,MPN,PROD_ID,SF_ID,VALUE,VENDOR
R8,4.7k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",,,,,,,,,
R9,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",Digi-Key,1276-4275-1-ND,,Samsung,RC1005F6653CS,,,,
R10,NP,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",Digi-Key,1276-4275-1-ND,,Samsung,RC1005F6653CS,,,,
R11,4.7k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",,,,,,,,,
R12,0,R-US_0603-B-NOSILK,.0603-B-NOSILK,"RESISTOR, American symbol",Digi-Key,1276-4275-1-ND,,Samsung,RC1005F6653CS,,,,
R13ERJ-2RKF2372X,4.7k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",,,,,,,,,
R16,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",Digi-Key,1276-4275-1-ND,,Samsung,RC1005F6653CS,,,,
R17,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",Digi-Key,1276-4275-1-ND,,Samsung,RC1005F6653CS,,,,
R18,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",,,,,,,,,
R19,10,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",,,,,,,,,
R20,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",,,,,,,,,
R24,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",,,,,,,,,
R27,10k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",Digi-Key,1276-4275-1-ND,,Samsung,RC1005F6653CS,,,,
R36,23.9k,R-US_0402-B-NOSILK,.0402-B-NOSILK,"RESISTOR, American symbol",Digi-Key,1276-4275-1-ND,,Samsung,RC1005F6653CS,,,,
U$1,ORESAT-CARD-V1.1-3XRF,ORESAT-CARD-V1.1-3XRF,ORESAT-CARD-V1.1-3XRF,,,,,,,,,,
U1,MAX892LEUA+T21-0036K-L,MAX892LEUA+T21-0036K-L,21-0036K-L,MAX891L / MAX892L,,,MAX892LEUA+T,,,,,,Maxim Integrated Products
U2,TCAN330,TCAN330,SOT23-8_TI-DCN,,,,,Texas Instruments,TCAN330GDCNT,,,,
U3,TCAN330,TCAN330,SOT23-8_TI-DCN,,,,,Texas Instruments,TCAN330GDCNT,,,,
U4,TPS259621 - eFuse,TPS2596XX,SO-POWERPAD-8,TPS2596XX   - eFuse With Accurate Current Monitor and Fast,,,,,,,,,
U5,TPS62111RSA,TPS6211X,S-PVQFN-16,"TPS6211x 17-V, 1.5-A, Synchronous Step-Down Converter",,,,TI,TPS62111RSA,,,,
U6,MAX6374KA-T21-0078H-L,MAX6374KA-T21-0078H-L,21-0078H-L,,,,max6374kat,,,,,,Maxim Integrated Products
U7,STM32F446RE,STM32F446RE,QFP-10X10-64,,,,,,,,,,
X1,16MHZ-2.5x2mm,CRYSTAL-WITH-GND,CRYSTAL_2.5X2,,Digi-Key,XC2181CT-ND,,ECS Inc.,ECS-160-10-36Q-ES-TR,,,,
